Date,Thor Dollar ALT - Gross,Thor Dollar ALT - Net,abrdn Physical Precious Metals Basket Shares ETF
2018-01-31,2.841009170620268,2.823742715673272,2.5688496086992085
2018-02-28,-3.4251298077594527,-3.439923155204927,-2.7144802781805977
2018-03-31,0.03481819496109484,0.017880714466667058,-0.9094893525183334
2018-04-30,-2.8412250940668016,-2.8573006581386062,-0.6534077401570082
2018-05-31,-0.9116314917674839,-0.9284441943486543,-0.34450381526105467
2018-06-30,-1.2680340781908273,-1.2842299938802815,-3.299798079188432
2018-07-31,0.05629303177852041,0.03934360509005863,-2.59995315256758
2018-08-31,0.3775562912952335,0.3605589586783031,-2.986315042391585
2018-09-30,-0.15652637298960714,-0.1728878626707564,0.9647240259383683
2018-10-31,0.05717662345612329,0.04022052300185486,0.679593413446189
2018-11-30,0.36507667972369706,0.3486254956997836,0.6936359584583274
2018-12-31,1.2266742653785245,1.209585737844865,6.115593239974726
2019-01-31,1.8329742355108092,1.8157446796539745,3.5148845744708224
2019-02-28,-1.2292014745873492,-1.2444146116414645,0.8412285265921415
2019-03-31,-2.1843050974560962,-2.20081532301466,-3.412729274039139
2019-04-30,-0.8494202457777544,-0.8656307393073437,-0.28267371277845843
2019-05-31,0.6006441856654776,0.5837554299815917,-0.7880372454018736
2019-06-30,4.712872484709885,4.695758237618053,8.056242471761621
2019-07-31,2.4738631429449764,2.4562317803881184,1.5938456131923129
2019-08-31,9.92753557263024,9.9089235764235,8.270672375201539
2019-09-30,-2.77068196485708,-2.7867668216738473,-3.071573847536213
2019-10-31,1.6951524873291213,1.6780431276142815,4.198109521397431
2019-11-30,-1.9641604085153586,-1.9801693497524253,-3.2001792175223365
2019-12-31,2.263336602062793,2.2460313871138116,4.3618730796911365
2020-01-31,3.054267920053344,3.036885585018201,5.353392213434605
2020-02-29,-4.451032848260528,-4.466880030366072,-0.614359359042338
2020-03-31,2.22584891054185,2.208500627324317,-6.119715690486538
2020-04-30,2.2013255939519416,2.1842421459246086,3.6085242466002976
2020-05-31,9.119295416090756,9.101111711353926,5.410622705825419
2020-06-30,2.4642077656582773,2.447604967986816,1.8410305664411597
2020-07-31,20.604484792352885,20.584482283055962,15.527385075103872
2020-08-31,1.0423868148566662,1.0252974779175528,4.943003376472244
2020-09-30,-1.705739109962201,-1.7218529232228663,-7.218313231780293
2020-10-31,-2.5297794088737335,-2.546213251014462,-0.6917896781618804
2020-11-30,0.0658229720533976,0.04942269589744974,-2.7220967123093853
2020-12-31,3.810184171882147,3.7925481679083495,9.011769090786004
2021-01-31,0.8689763068265854,0.8519665168460921,-2.516385906960694
2021-02-28,-1.0861817664120532,-1.1012945306120403,-2.8716525514840163
2021-03-31,-0.1852753849267419,-0.2021859062856235,-1.0886822595916334
2021-04-30,-0.0687590570252472,-0.0852024172009691,5.2875825813830435
2021-05-31,4.200881384252653,4.1832823774003325,5.442246649933424
2021-06-30,-6.7504781330260055,-6.765640436935117,-6.249991059470417
2021-07-31,-0.00005612898966722568,-0.017075502947150323,-0.19700357776682997
2021-08-31,-0.0037129711172978475,-0.02063210050825548,-3.023084749018412
2021-09-30,-1.904550892540302,-1.920466642278762,-7.3808108996935795
2021-10-31,0.09760617426062268,0.08051001094475652,3.6548832068480586
2021-11-30,-2.2082577111074198,-2.224383227318283,-3.648747176179079
2021-12-31,2.7940239499658404,2.77673380937955,3.5930388036483185
2022-01-31,-2.251025307416177,-2.267497917291994,1.327393354750872
2022-02-28,6.967373842267133,6.951168653919582,6.636125646417379
2022-03-31,1.2018757261183621,1.1847193787173582,-0.5949054294408951
2022-04-30,-4.273578146536494,-4.289374346616515,-3.372189785489954
2022-05-31,-4.0778337099083295,-4.0943352801940165,-4.8901415932949055
2022-06-30,-3.1232434325426772,-3.1393330181084034,-3.3635212404970027
2022-07-31,-3.9895947910921548,-4.005858848805143,-0.11718032948890844
2022-08-31,0,-0.016939890710387928,-5.021728653106261
2022-09-30,0,-0.016393442622952836,0.22235766589886463
2022-10-31,-0.7808676307007767,-0.7977193359956725,-2.7733176411896543
2022-11-30,6.174065304719267,6.157081214665294,9.660232246477186
2022-12-31,4.790731767765166,4.773044213999755,3.156063503674722
2023-01-31,2.957861453019195,2.9405109694884857,1.927597987999774
2023-02-28,-6.731228192763239,-6.745460728172326,-7.993395294484662
2023-03-31,4.6595999358317375,4.641814333189198,8.998550432883867
2023-04-30,0.523392359549546,0.506915830154453,2.192732207997028
2023-05-31,-0.8172498247593474,-0.8340356437814611,-3.6154910476536295
2023-06-30,-1.3456187565570321,-1.3617273343308867,-3.428312121606325
2023-07-31,1.374076129023405,1.3569314261781207,4.207013176866026
2023-08-31,-0.7740689437706116,-0.7908945912796228,-1.4378989389402963
2023-09-30,-2.8693224862429645,-2.885343246812977,-5.5607797575539575
2023-10-31,4.357016411257075,4.339279470893209,4.628648212018782
2023-11-30,1.5392401548310009,1.5225516000275219,3.566139555652703
2023-12-31,0.787230523239768,0.7701407448047703,-0.18641421519293155
2024-01-31,-0.8779099092001585,-0.8947087374817864,-2.933425376161536
2024-02-29,0.2800328931029661,0.26419157466941456,-0.2829561207064679
2024-03-31,5.328496800227178,5.310798382596604,8.399562434771157
2024-04-30,1.895943355263241,1.8790212822925367,3.465953336247618
2024-05-31,1.0377373971082626,1.0205566258059129,5.242363010373974
2024-06-30,-0.08683758428092991,-0.10321580946401898,-0.9712444323682234
2024-07-31,3.458540287326084,3.441219122281569,2.5053664943345266
2024-08-31,1.3730900663811996,1.3558361166576827,1.3546683020191574
2024-09-30,3.3633685703298832,3.346331938569924,5.888402932058234
2024-10-31,2.8890006180507966,2.871384474438643,4.691500103687951
2024-11-30,-2.128078171623371,-2.1440302468162864,-4.514978213616461
2024-12-31,-0.9499054468566914,-0.9666146646754803,-3.0463575474644955
2025-01-31,4.553936265468805,4.536248888776906,7.4590264775526105
2025-02-28,1.2486188987225422,1.2330599743704873,0.4152834470312339
2025-03-31,6.51171934632957,6.493857340840581,9.27583780736465
2025-04-30,2.8979244549605543,2.8809783983173576,2.0236346918195647
2025-05-31,-0.03412615107715178,-0.05112861188260043,0.8327802994120281
2025-06-30,0.24699703072594836,0.2306819371544755,3.7239838409202086
2025-07-31,-0.3745905833230534,-0.3913991522360605,0.26785292258295623
2025-08-31,3.03815267339993,3.020801667991213,5.378292052438449
2025-09-30,7.298248863472878,7.280755277173179,13.345216604717747
2025-10-31,2.3006203521750646,2.2832288145931523,4.019353560236816
2025-11-30,3.5128783039448885,3.4960477041692473,8.361419477511367
2025-12-31,1.447802607249793,1.4305423997499789,10.247223473665779
2026-01-31,8.234414063833807,8.214618125323248,13.73532623646112
2026-02-06,-0.48018892609524855,-0.48018892609524855,-5.627790577425651
