Date,Thor International  - Gross,Thor International  - Net,Vanguard Total World Stock ETF
2017-01-31,2.8438052695206606,2.8264144946151593,2.9999894219743473
2017-02-28,0.9941335590130107,0.9786242925108546,2.6897855893108336
2017-03-31,3.726105083843967,3.7085183102963493,1.4759083831333397
2017-04-30,1.7558519480415091,1.73915132320408,1.6252647219625604
2017-05-31,3.853145958472015,3.835562187071262,1.946296113244661
2017-06-30,0.5341285470836565,0.5176811226521139,0.6255013649875796
2017-07-31,4.005063762478489,3.9874779605042043,2.650680727130572
2017-08-31,0.3276898921921845,0.3107890239970379,0.4183398687754636
2017-09-30,2.3248278365334496,2.3081892299870566,2.106616822801133
2017-10-31,2.7532220684888697,2.735923461312928,2.1068936803277705
2017-11-30,0.7281439329394512,0.7116077696800671,1.897243724400477
2017-12-31,1.6140807733817208,1.5968768298604274,1.5962166451249704
2018-01-31,5.973452904802978,5.9555491656657855,5.4807248075412485
2018-02-28,-5.29267006547186,-5.307160804478239,-4.442741247348381
2018-03-31,0,-0.016939890710387928,-1.2866953972509476
2018-04-30,0,-0.016393442622952836,0.42102872546341263
2018-05-31,0,-0.016939890710387928,0.5680334179928304
2018-06-30,0,-0.016393442622952836,-0.5996012492609837
2018-07-31,0,-0.016939890710387928,2.8758078693685185
2018-08-31,0,-0.016939890710387928,0.8611601740680097
2018-09-30,0,-0.016393442622952836,0.0794251496598175
2018-10-31,0,-0.016939890710387928,-7.820123577525906
2018-11-30,0.9946490399748376,0.9780708679701045,1.7310333373523612
2018-12-31,0.16226384123971815,0.14529434784256168,-7.223248804638005
2019-01-31,1.2053537962141148,1.18822660554474,7.989624357589142
2019-02-28,1.7886381574475863,1.773043130775398,2.8150849886334095
2019-03-31,1.1445370422980439,1.1275122691770445,1.0647929597532357
2019-04-30,2.8535126724746007,2.836669758117649,3.4713556493311204
2019-05-31,-6.4744815284750405,-6.49043392510621,-5.970130336657697
2019-06-30,5.703653418452714,5.68640170961574,6.368650895846462
2019-07-31,-2.8117309480791275,-2.828309931117512,-0.000005202965847050933
2019-08-31,-2.966047156513041,-2.9824548147862617,-2.102175460122968
2019-09-30,2.397646387273511,2.3809650883374944,2.2760854253583984
2019-10-31,3.1949211094550733,3.1773837009153816,2.793372890468371
2019-11-30,1.2311608178196654,1.2143971004414444,2.561451837244766
2019-12-31,3.82579401700065,3.8082814399794884,3.4515216526242343
2020-01-31,-3.449900953609608,-3.466562862240208,-1.5557234859358005
2020-02-29,-6.357526160632798,-6.372482935804491,-7.224376927968857
2020-03-31,1.1951660166929168,1.1780760531168166,-14.757081402772432
2020-04-30,8.272351624467223,8.254174223906174,10.366233496488132
2020-05-31,4.596624739723154,4.57898389716902,5.208488674447032
2020-06-30,4.653283785674023,4.636045267854794,3.0668973389455623
2020-07-31,4.665545313873487,4.647535869510588,5.2941330756050675
2020-08-31,5.483249721070216,5.465117988932433,6.005583156769223
2020-09-30,-1.677091196847036,-1.693173308334528,-2.9250208138092204
2020-10-31,0.38207748486978055,0.3649120852626586,-2.0461495735224267
2020-11-30,8.812856549094516,8.794640869737936,12.368667733146133
2020-12-31,5.693543915935395,5.675563515349302,4.9365586986765075
2021-01-31,-0.21361262792687352,-0.2309146855572597,-0.22681751722666288
2021-02-28,3.231200626355024,3.2151873028857914,2.674030901207547
2021-03-31,2.4047676340776203,2.3874118648514076,2.8498323495982802
2021-04-30,2.3516593545585662,2.3346815579491587,4.131985246999781
2021-05-31,4.039611623832395,4.022015278091762,1.5793408195695857
2021-06-30,-1.3471092271876373,-1.3633653673949753,1.1750979298812192
2021-07-31,-0.31073910539357597,-0.32767476755634073,0.6177149847318208
2021-08-31,1.764124347201923,1.7468963174981145,2.2637645469247403
2021-09-30,-1.7294390036965868,-1.7456175452890244,-4.100838314616562
2021-10-31,3.5318873791374994,3.5142525798874447,5.145816592507679
2021-11-30,-2.9831663034043054,-2.9992519549247088,-2.615117007757084
2021-12-31,2.844564726564114,2.82714296969786,3.8131051795794013
2022-01-31,-1.4011384249703163,-1.4178409643628154,-4.579715215508551
2022-02-28,0,-0.015300546448082653,-2.770466854679743
2022-03-31,-0.6046531560986113,-0.6217910388364278,1.8863186053820646
2022-04-30,-4.8211687284727684,-4.836813418540043,-8.095588936054499
2022-05-31,0.31342936201890215,0.29654947717112634,0.4941680546047822
2022-06-30,-2.9885411546568985,-3.004435870140054,-8.135407165290697
2022-07-31,-1.793853044259175,-1.8105221968610419,6.983838865705105
2022-08-31,-4.129421791236155,-4.1457219860103205,-4.052585118741414
2022-09-30,-6.341956856445529,-6.357285296955184,-9.531961633950392
2022-10-31,8.306631120059539,8.288130547305993,6.376778537555805
2022-11-30,12.461577387900903,12.443557228958113,8.282674779460809
2022-12-31,-2.84505195775262,-2.861683793697356,-4.432967966381018
2023-01-31,9.202543637020444,9.184158034977695,7.645897491304798
2023-02-28,-4.134761034190237,-4.14952425262457,-3.1795566561537703
2023-03-31,2.3389170670899517,2.321698038895237,2.8468077941500303
2023-04-30,2.1266254349487257,2.1099130365596297,1.422502962256833
2023-05-31,-2.8556771703090678,-2.87231391260242,-1.2098636386035588
2023-06-30,4.640390324691079,4.623437961312171,5.8154321354213945
2023-07-31,3.2629738588996204,3.2454701145061327,3.7223713631896915
2023-08-31,-5.157298198451166,-5.173335306108817,-2.8432309488317875
2023-09-30,-1.316124005611885,-1.3323461470623799,-4.254806098469254
2023-10-31,0.39779848467837997,0.38079120733944816,-2.919094052915372
2023-11-30,0.7135776992044818,0.6971061250836685,9.009497836647572
2023-12-31,2.934895641455082,2.9174696236005104,5.1540584529081945
2024-01-31,-2.7058352101922423,-2.7224641183376086,-0.000006629774307320702
2024-02-29,3.4612909972312034,3.444954636187547,4.490672425759534
2024-03-31,2.948756101095662,2.9313526529448852,3.191079314651013
2024-04-30,-1.546257018293995,-1.5626366255204194,-3.583723069208844
2024-05-31,3.380157327755584,3.3627126051276157,4.599210546379684
2024-06-30,-1.3027495279011259,-1.3189311202453258,1.5873406858639916
2024-07-31,3.5544429912745867,3.5370415062408123,1.9799281974829386
2024-08-31,0.24530206468889038,0.22837362622221136,2.333270085013317
2024-09-30,0.8309461717113553,0.8143634880687145,2.198218127766882
2024-10-31,-2.5152069575464564,-2.531797077406117,-2.180448623190201
2024-11-30,0.5453820326561276,0.5289122311989747,4.14210591189097
2024-12-31,-0.9775191266477745,-0.994284583300542,-2.9418299636469913
2025-01-31,0.9423750385335605,0.925251650644765,3.0558278025677232
2025-02-28,0.13541031646200352,0.12012509116547943,-0.412978718982393
2025-03-31,-0.42024308059135373,-0.43708499811991874,-3.5168209317402166
2025-04-30,7.635180569479272,7.617474043672345,0.5605969005092692
2025-05-31,5.425162292078012,5.407266919050957,5.806161311908831
2025-06-30,4.729407269363284,4.712304997663508,4.675079416563399
2025-07-31,-0.4524107723122395,-0.46945165312758386,1.0970911360461466
2025-08-31,2.942834413693096,2.9252712433761596,2.955434124663725
2025-09-30,2.9702462441295374,2.9534209309091564,3.3709105973998454
2025-10-31,4.091161708354196,4.0735771522699915,2.0246618605753275
2025-11-30,-0.5052797004593601,-0.5215612237664535,0.21335521274654656
2025-12-31,3.7061441501994086,3.6884551656315434,0.9153513707587768
2026-01-31,7.731346114813276,7.71294332953385,3.1121624553394067
2026-02-06,-0.41002246035956036,-0.41002246035956036,-1.430043785956514
