Date,Thor Low Volatility SDQ - Gross,Thor Low Volatility SDQ - Net,State Street SPDR S&P 500 ETF
2017-01-31,2.4613057913637437,2.4439077800546993,1.7894469840357807
2017-02-28,4.431846810236317,4.415829639947999,3.92916067452842
2017-03-31,0.5344418383300464,0.5173780593198618,0.1257989043003338
2017-04-30,1.7169934296135114,1.7003047207335253,0.9926151533977245
2017-05-31,2.046469945408691,2.0291743792082872,1.4112798548627126
2017-06-30,-0.06984764955108025,-0.08620216310278872,0.6374566311541319
2017-07-31,2.92999436589394,2.9125463530136786,2.055418846831869
2017-08-31,1.0194127495619654,1.0024116576990094,0.2917643848062035
2017-09-30,1.2279749118691896,1.2114454469722702,2.014095202387911
2017-10-31,3.801927018391771,3.784382224279814,2.3564375207840937
2017-11-30,3.0160347080813166,2.999319958531843,3.056568452637687
2017-12-31,1.281802516885544,1.2645708092118735,1.208672150395751
2018-01-31,6.708317973781841,6.690289456964016,5.635922846333674
2018-02-28,-4.738207951888995,-4.7527835266285905,-3.635993102405377
2018-03-31,0,-0.016939890710387928,-2.741579213259515
2018-04-30,0,-0.016393442622952836,0.5168203228655743
2018-05-31,0,-0.016939890710387928,2.4309232659832203
2018-06-30,-1.0797822276309432,-1.0959771885683312,0.5755070964355014
2018-07-31,1.381414222810573,1.3643056498488848,3.704655750899666
2018-08-31,2.6920045005418336,2.6746199748854727,3.191980596615074
2018-09-30,0.15464721247828717,0.13822751000087674,0.5948525243612446
2018-10-31,-4.0124976733904365,-4.028757851380194,-6.91043313925106
2018-11-30,0,-0.016393442622952836,1.8549310098545435
2018-12-31,0,-0.016939890710387928,-8.793624469624916
2019-01-31,3.5314622590286504,3.5140593244147977,8.006568639416024
2019-02-28,3.3569093079097057,3.3410614445194664,3.2415755102406907
2019-03-31,1.9525728400377806,1.9354258897975596,1.8079025568280782
2019-04-30,4.057678577457224,4.040584120551971,4.0852515292578495
2019-05-31,-6.956976460025022,-6.972970004544443,-6.37712005681016
2019-06-30,6.5022671185300585,6.48485985440852,6.959258200516172
2019-07-31,1.6287927930387802,1.6113626672106252,1.5119426847626238
2019-08-31,-1.6633986274246615,-1.6800532280890512,-1.674358208975435
2019-09-30,2.030580028231155,2.0139285479906732,1.9478810086253517
2019-10-31,1.3641730058137735,1.346939819451931,2.2104559062549933
2019-11-30,3.8978711132948263,3.880772755834494,3.619819949735059
2019-12-31,2.833128820717712,2.8157452439738107,2.903361103811286
2020-01-31,0.7123518814527774,0.6949753071315623,-0.040375609672160806
2020-02-29,-7.750086930290312,-7.764774951017584,-7.916570629618636
2020-03-31,5.951159576936704,5.93321156629798,-12.464272688031508
2020-04-30,17.922726697789827,17.9032489521038,12.698333482924816
2020-05-31,5.337788108386454,5.320056362085612,4.764520497914604
2020-06-30,3.8537543041947897,3.836998451827367,1.7760451352641704
2020-07-31,6.561566544201036,6.543743752072695,5.889196394429996
2020-08-31,8.021296905788322,8.002975175109794,6.979654675536917
2020-09-30,-5.485220723224115,-5.500714949335073,-3.7398351610438363
2020-10-31,0,-0.016939890710387928,-2.4933271665153356
2020-11-30,0,-0.016393442622952836,10.877677115627327
2020-12-31,2.409417791371782,2.3921342644803945,3.7065977850233356
2021-01-31,-1.0138200427971422,-1.0309356815913273,-1.0190524432310277
2021-02-28,1.9786461650433296,1.9629621976826828,2.7805560928319872
2021-03-31,4.8738257040227495,4.856078259255758,4.540526990058691
2021-04-30,3.771593307437038,3.7544803615491062,5.291028942465648
2021-05-31,0.10939288942357628,0.09247470182631723,0.6566232904995584
2021-06-30,1.0858543098201334,1.0693389396770225,2.247292920571553
2021-07-31,1.8882440751299523,1.8709098023052873,2.4412667756477546
2021-08-31,2.194901464704979,2.177573042174319,2.975982856529491
2021-09-30,-4.39723809787067,-4.413132001382913,-4.657524798434665
2021-10-31,6.406752976554975,6.388769003499095,7.016356723438655
2021-11-30,-0.7738339695111174,-0.7903844188570264,-0.8035041478363425
2021-12-31,3.9020754004641445,3.884434500892775,4.629498638614349
2022-01-31,-7.277836153415396,-7.29354318663532,-5.27411422309878
2022-02-28,0,-0.015300546448082653,-2.9516870932291495
2022-03-31,1.522041895233528,1.5047346357196734,3.7555532028997973
2022-04-30,-6.408443803631181,-6.423786681696164,-8.776879324677811
2022-05-31,0,-0.016939890710387928,0.22573993886991772
2022-06-30,-4.646773749109179,-4.66250297110653,-8.246916349408263
2022-07-31,7.57955603086069,7.561623452562105,9.208741837531043
2022-08-31,-3.758621546401486,-3.7750383194611437,-4.080215812795174
2022-09-30,-0.8084628167116192,-0.8247237244465855,-9.24164561192351
2022-10-31,1.4196871662793153,1.402475922334978,8.12757028384401
2022-11-30,7.921892913488016,7.904765052103913,5.559141264701339
2022-12-31,-6.595999416448828,-6.611859909136908,-5.757579634044296
2023-01-31,4.583797107857479,4.566316442252738,6.2887416039092425
2023-02-28,-2.277363055916415,-2.2923768485560325,-2.5142727091917783
2023-03-31,5.105406936360324,5.087854497918998,3.7124880037967545
2023-04-30,1.5098716572815363,1.4933599822528842,1.5974862463315809
2023-05-31,1.886761940419368,1.869419420267393,0.46163519517887774
2023-06-30,5.7820193451073365,5.764881265556654,6.481418552872742
2023-07-31,3.5254351326002853,3.507928170032204,3.2732813980396847
2023-08-31,-2.3932355288031837,-2.4098187702638385,-1.6252091122347156
2023-09-30,-4.016717527353652,-4.032509672812656,-4.739334538311956
2023-10-31,-1.7221546525590048,-1.738771964027741,-2.1708530443140694
2023-11-30,5.404220881740196,5.3871013436182835,9.134376945313448
2023-12-31,4.985113695093957,4.967284207473521,4.56626658600241
2024-01-31,1.5400175752047218,1.5225622966949848,1.592653159472679
2024-02-29,4.268109891702032,4.251658201029773,5.218688604176869
2024-03-31,2.2387895714010897,2.2214614597796833,3.272386922062931
2024-04-30,-4.926805157916059,-4.942628421378592,-4.031948747543956
2024-05-31,3.781386086708527,3.76401686543697,5.057997937364012
2024-06-30,2.4075523364944784,2.3907073177583893,3.528453274959875
2024-07-31,1.1628620606185969,1.1458833512761224,1.2109401782889107
2024-08-31,-5.35391091843257,-5.369847121296589,2.336571913115537
2024-09-30,1.4924151999378577,1.4758002840714601,2.1009231964360664
2024-10-31,-1.1489708672194343,-1.1660085724411684,-0.8923763816983898
2024-11-30,6.460092650835314,6.4427566133489655,5.963333899181356
2024-12-31,-2.4175472385544516,-2.4341491807072457,-2.409986671923814
2025-01-31,3.17929960063168,3.161736702063811,2.6856441107538265
2025-02-28,-1.8057247581060976,-1.8205255935498266,-1.2694653550941903
2025-03-31,-4.307306775329678,-4.32346368079477,-5.572105438092779
2025-04-30,0.026307548162107786,0.009926004918314746,-0.8670539385401965
2025-05-31,6.506031738033635,6.487978541031314,6.28450814422381
2025-06-30,5.324537764059611,5.307369766836145,5.139351490660449
2025-07-31,1.6687656855915112,1.6514481221637123,2.303126303147174
2025-08-31,2.070583610015486,2.0531800486923046,2.051922930861494
2025-09-30,3.666150450462591,3.649201449045969,3.5606330261137575
2025-10-31,3.2809201661849308,3.263480822417897,2.38372094003938
2025-11-30,-0.4955814981254414,-0.5118027408163917,0.19498758913090164
2025-12-31,0.5012482294213694,0.48410872483757306,0.07716772751418244
2026-01-31,1.6104546224621208,1.5931963926400838,1.4737555503431032
2026-02-06,-1.0229618362190829,-1.0229618362190829,-2.073789167393836
